Semana,Num_Aviones,Motores_en_mantenimiento,Motores_arrendados,Motores_comprados,Swaps_realizados,Motores_en_stock,Motores_sobreciclo,Costo_acumulado
1,30,0,0,0,0,0,0,0.0
2,30,3,1,2,0,0,0,2590002.0
3,30,3,1,0,0,0,0,2660002.0
4,30,3,1,0,0,0,0,2730002.0
5,30,3,1,0,0,0,0,2800002.0
6,30,3,1,0,0,0,0,2870002.0
7,30,3,1,0,0,0,0,2940002.0
8,30,3,1,0,0,0,0,3010002.0
9,30,3,1,0,0,0,0,3080002.0
10,30,3,1,0,0,0,0,3150002.0
11,30,3,1,0,0,0,0,3220002.0
12,30,3,1,0,0,0,0,3290002.0
13,30,3,1,0,0,0,0,3360002.0
14,30,3,1,0,0,0,0,3430002.0
15,30,3,1,0,0,0,0,3500002.0
16,30,3,1,0,0,0,0,3570002.0
17,30,3,1,0,0,0,0,3640002.0
18,30,3,1,0,0,0,0,3710002.0
19,30,3,1,0,0,0,0,3780002.0
20,30,2,0,0,0,0,0,3780002.0
21,30,2,0,0,0,0,0,3780002.0
22,30,2,0,0,0,0,0,3780002.0
23,30,2,0,0,0,0,0,3780002.0
24,30,2,0,0,0,0,0,3780002.0
25,30,2,0,0,0,0,0,3780002.0
26,30,2,0,0,0,0,0,3780002.0
27,30,2,0,0,0,0,0,3780002.0
28,30,2,0,0,0,0,0,3780002.0
29,30,2,0,0,0,0,0,3780002.0
30,30,2,0,0,0,0,0,3780002.0
31,30,2,0,0,0,0,0,3780002.0
32,30,2,0,0,0,0,0,3780002.0
33,30,2,0,0,0,0,0,3780002.0
34,30,2,0,0,0,0,0,3780002.0
35,30,2,0,0,0,0,0,3780002.0
36,30,2,0,0,0,0,0,3780002.0
37,30,2,0,0,0,0,0,3780002.0
38,30,0,0,0,0,2,0,3780002.0
39,30,0,0,0,0,2,0,3780002.0
40,30,0,0,0,0,2,0,3780002.0
41,30,0,0,0,0,2,0,3780002.0
42,30,1,0,0,0,1,0,3780002.0
43,30,1,0,0,0,1,0,3780002.0
44,30,1,0,0,0,1,0,3780002.0
45,30,1,0,0,0,1,0,3780002.0
46,30,1,0,0,0,1,0,3780002.0
47,30,1,0,0,0,1,0,3780002.0
48,30,2,0,0,0,0,0,3780002.0
49,30,2,0,0,0,0,0,3780002.0
